r (m),phi (m),z (m),del.q (J/m^3-s)
0,3.14159,0.00508,181578
0,3.14159,0.01524,187619
0,3.14159,0.0254,187619
0,3.14159,0.03556,187258
0,3.14159,0.04572,187258
0,3.14159,0.05588,187258
0,3.14159,0.06604,187258
0,3.14159,0.0762,187258
0,3.14159,0.08636,186897
0,3.14159,0.09652,186897
0,3.14159,0.10668,186897
0,3.14159,0.11684,186897
0,3.14159,0.127,186897
0,3.14159,0.13716,186897
0,3.14159,0.14732,186897
0,3.14159,0.15748,186897
0,3.14159,0.16764,186897
0,3.14159,0.1778,186897
0,3.14159,0.18796,186897
0,3.14159,0.19812,186897
0,3.14159,0.20828,186897
0,3.14159,0.21844,186897
0,3.14159,0.2286,186897
0,3.14159,0.23876,186897
0,3.14159,0.24892,186537
0,3.14159,0.25908,186537
0,3.14159,0.26924,186537
0,3.14159,0.2794,187168
0,3.14159,0.28956,187168
0,3.14159,0.29972,180045
